"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Brazil","Mato Grosso tropical dry forests","Psittacara leucophthalmus",480.5,121,23,0.67,"100m",0.26,"half-normal key function",0.0310530114904747,465.38,0.97,"-"
"Brazil","Pantanal","Amazona aestiva",239.69,72,25,0.36,"50m",0.22,"half-normal key function with cosine(2,3) adjustments",0.431953929949198,327.27,1.37,"-"
"Brazil","Pantanal","Brotogeris chiriri",239.69,106,24,0.02,"25m",0.23,"half-normal key function",0.974041874719059,460.87,1.92,"-"
"Brazil","Pantanal","Myiopsitta monachus",239.69,105,14,0.33,"50m",0.07,"half-normal key function",0.999999999999005,1500,6.26,"-"
"Brazil","Uruguayan savanna","Myiopsitta monachus",317.2,38,17,0.49,"100m",0.2,"half-normal key function",0.951716461132924,190,0.6,"-"
"Brazil","Xingu-Tocantins-Araguaia moist forests","Ara severus",306.7,28,12,0.08,"100m",0.29,"half-normal key function with cosine(2) adjustments",0.130491598604086,96.55,0.31,"-"
"Brazil","Xingu-Tocantins-Araguaia moist forests","Brotogeris chiriri",306.7,50,12,0.52,"50m",0.22,"half-normal key function",0.986134046385898,227.27,0.74,"-"
"Brazil","Xingu-Tocantins-Araguaia moist forests","Psittacara leucophthalmus",306.7,56,14,0.46,"50m",0.24,"half-normal key function with cosine(2) adjustments",0.0202884684412544,233.33,0.76,"-"
"Chile","Chilean Matorral","Enicognathus ferrugineus",3052.97,32,5,0.43,"50m",0.43,"half-normal key function",0.60197742394446,74.42,0.02,"-"
"Chile","Chilean Matorral","Enicognathus leptorhynchus",3052.97,22326,74,0.01,"100m",0.46,"half-normal key function with cosine(2,3) adjustments",0.258782627028723,48534.78,15.9,"-"
"Chile","Valdivian temperate forests","Enicognathus ferrugineus",3052.97,5200,136,0.34,"100m",0.21,"half-normal key function with cosine(2,3) adjustments",0.324034117922106,24761.9,8.11,"-"
"Chile","Valdivian temperate forests","Enicognathus leptorhynchus",3052.97,28095,382,0,"100m",0.43,"half-normal key function with cosine(2) adjustments",0.332399116374935,65337.21,21.4,"-"
"Colombia","Cauca Valley dry forests","Pionus menstruus",137.6,54,11,0.19,"100m",0.23,"half-normal key function with cosine(2) adjustments",0.0265258788223802,234.78,1.71,"-"
"Colombia","Cauca Valley dry forests","Psittacara wagleri",137.6,105,13,0.59,"50m",0.07,"half-normal key function",0.999999999997895,1500,10.9,"-"
"Colombia","Cauca Valley montane forests","Amazona mercenarius",519.9,182,12,0.68,"25m",0.35,"half-normal key function",0.980297779496583,520,1,"-"
"Colombia","Cauca Valley montane forests","Pionus chalcopterus",519.9,73,11,0.57,"50m",0.71,"half-normal key function",0.896974854327364,102.82,0.2,"-"
"Colombia","Cauca Valley montane forests","Psittacara wagleri",519.9,307,11,0.83,"100m",0.34,"half-normal key function",0.837439647335651,902.94,1.74,"-"
"Colombia","Choco-Darian moist forests","Brotogeris jugularis",260.8,107,29,0.54,"25m",0.23,"half-normal key function",0.365774564245387,465.22,1.78,"-"
"Colombia","Choco-Darian moist forests","Pionus menstruus",260.8,133,29,0.73,"25m",0.29,"half-normal key function",0.690033068975415,458.62,1.76,"-"
"Colombia","Cordillera Oriental montane forests","Brotogeris jugularis",96.9,272,29,0.3,"100m",0.17,"half-normal key function",0.00757219776295848,1600,16.51,"-"
"Colombia","Cordillera Oriental montane forests","Pionus menstruus",96.9,82,15,0.71,"25m",0.16,"half-normal key function",0.996043002385618,512.5,5.29,"-"
"Colombia","Guajira-Barranquilla xeric scrub","Brotogeris jugularis",379.6,328,60,0.98,"25m",0.18,"half-normal key function",0.916320381016169,1822.22,4.8,"-"
"Colombia","Guajira-Barranquilla xeric scrub","Eupsittula pertinax",379.6,294,64,0.16,"100m",0.13,"half-normal key function",0,2261.54,5.96,"-"
"Colombia","Guajira-Barranquilla xeric scrub","Forpus passerinus",379.6,16,11,0.67,"25m",0.05,"half-normal key function",0.999999999999442,320,0.84,"-"
"Colombia","Guajira-Barranquilla xeric scrub","Pionus menstruus",379.6,32,10,0.6,"100m",0.15,"half-normal key function",0.999721777895263,213.33,0.56,"-"
"Colombia","Magdalena-Uraba moist forests","Amazona amazonica",226.8,62,20,0.64,"50m",0.23,"half-normal key function",0.454672591272884,269.57,1.19,"-"
"Colombia","Magdalena-Uraba moist forests","Amazona ochrocephala",226.8,67,24,0.89,"50m",0.32,"half-normal key function",0.643324309660569,209.38,0.92,"-"
"Colombia","Magdalena-Uraba moist forests","Brotogeris jugularis",226.8,660,88,0.47,"25m",0.23,"half-normal key function",0.686913130613758,2869.57,12.65,"-"
"Colombia","Magdalena-Uraba moist forests","Eupsittula pertinax",226.8,1029,42,0.59,"25m",0.22,"half-normal key function",0.960158532258655,4677.27,20.62,"-"
"Colombia","Sinu Valley dry forests","Amazona ochrocephala",320.5,22,10,0.1,"50m",0.22,"half-normal key function",0.998005554214299,100,0.31,"-"
"Colombia","Sinu Valley dry forests","Ara ararauna",320.5,40,12,0.95,"100m",0.41,"half-normal key function",0.900105239191155,97.56,0.3,"-"
"Colombia","Sinu Valley dry forests","Brotogeris jugularis",320.5,347,60,0.21,"25m",0.21,"half-normal key function with cosine(2,3) adjustments",0.45431274737438,1652.38,5.16,"-"
